feature,mean_importance
Name_ernst,-0.019900887059327167
Ticket_347077,-0.015257196731144718
Ticket_ca,-0.012262039789724465
Parch,-0.007031595591920947
Name_thomas,-0.0058982935183611975
Ticket_pc,-0.004455239868784022
Ticket_soton,-0.004039170819982651
Ticket_17757,-0.0037838840978949182
Name_joseph,-0.0033144268911243337
Name_arthur,-0.002887749953042129
Name_dr,-0.0027891104236111076
Ticket_17582,-0.002706505647802826
Name_jr,-0.002223426505836601
Name_john,-0.002067141959744845
Ticket_paris,-0.001874311541706819
Ticket_o2,-0.0014747755329576728
Name_hanna,-0.0014364829562766301
Name_anne,-0.0012658269156302858
Name_elizabeth,-0.0011763547554139108
Name_harry,-0.001127638385438523
Name_victor,-0.0009756356463040405
Name_peter,-0.0008668103890758672
Name_brown,-0.0008197024248679186
Name_karl,-0.0007914813300569201
Ticket_oq,-0.0006030692063725085
Ticket_34651,-0.0005828613127352722
Name_james,-0.0004419467749536388
Ticket_371110,-0.0003448304996007012
Name_johan,-0.00027606892235079175
Name_sidney,-0.00023697347485703845
Fare,-0.000166340176869062
Name_charles,-0.0001567326930303481
Name_mary,-0.00011339932681421194
Name_harris,-5.5361753761928864e-05
Name_miss,-2.1710569833244264e-05
Ticket_11751,0.0
Ticket_11668,0.0
Ticket_11967,0.0
Ticket_13507,0.0
Ticket_113572,0.0
Ticket_113789,0.0
Ticket_347080,0.0
Ticket_113776,0.0
Ticket_349207,0.0
Ticket_113505,0.0
Ticket_111361,0.0
Ticket_110152,0.0
Name_viktor,0.0
Ticket_349209,0.0
Name_thayer,0.0
Name_solomon,0.0
Ticket_349213,0.0
Name_smith,0.0
Ticket_349214,0.0
Ticket_113806,0.0
Ticket_14879,0.0
Name_vander,0.0
Ticket_17421,0.0
Ticket_244367,0.0
Ticket_248738,0.0
Ticket_250655,0.0
Ticket_2627,0.0
Ticket_2653,0.0
Ticket_2666,0.0
Ticket_244252,0.0
Ticket_2668,0.0
Ticket_28403,0.0
Ticket_29750,0.0
Ticket_3101278,0.0
Ticket_3101279,0.0
Ticket_324669,0.0
Ticket_31027,0.0
Ticket_2699,0.0
Ticket_24160,0.0
Ticket_239865,0.0
Ticket_239853,0.0
Ticket_17453,0.0
Ticket_17569,0.0
Ticket_345767,0.0
Ticket_17604,0.0
Ticket_345765,0.0
Ticket_19943,0.0
Ticket_19950,0.0
Ticket_19996,0.0
Ticket_2123,0.0
Ticket_220845,0.0
Ticket_3336,0.0
Ticket_230433,0.0
Ticket_2315,0.0
Ticket_330877,0.0
Ticket_237736,0.0
Ticket_345773,0.0
Ticket_349215,0.0
Ticket_349909,0.0
Ticket_31921,0.0
Name_ida,0.0
Name_arnold,0.0
Ticket_370365,0.0
Name_graham,0.0
Ticket_349216,0.0
Name_frank,0.0
Name_francis,0.0
Name_fortune,0.0
Name_eugene,0.0
Name_ethel,0.0
Ticket_54636,0.0
Name_emily,0.0
Name_elisabeth,0.0
Ticket_5735,0.0
Name_bertram,0.0
Name_edith,0.0
Name_davis,0.0
Name_david,0.0
Name_daniel,0.0
Name_catherine,0.0
Name_borland,0.0
Name_carl,0.0
Name_campbell,0.0
Name_brien,0.0
Ticket_9549,0.0
Name_impe,0.0
Name_johansson,0.0
Ticket_349217,0.0
Ticket_349219,0.0
Name_palsson,0.0
Name_oskar,0.0
Ticket_349237,0.0
Name_anders,0.0
Name_nora,0.0
Ticket_349246,0.0
Ticket_315153,0.0
Name_moran,0.0
Ticket_363291,0.0
Name_jean,0.0
Name_bourke,0.0
Name_martin,0.0
Name_martha,0.0
Name_marie,0.0
Ticket_364516,0.0
Ticket_364849,0.0
Name_lillian,0.0
Name_laroche,0.0
Ticket_367230,0.0
Name_august,3.9329900265561156e-06
Name_williams,2.3552151135741716e-05
Age,0.00016407924536036012
Ticket_ah,0.000246075935530643
Name_goodwin,0.00031717606733471236
Name_william,0.00034103818200282855
Name_henry,0.0003549910438608972
Name_robert,0.0003729035953887183
Ticket_2144,0.00039327721003920015
Ticket_sc,0.00042904670755345987
Name_carter,0.00043899117591583714
Name_george,0.0005565141808753449
Embarked,0.0005662148287888691
Name_hansen,0.0006639511636963857
Name_hugh,0.0007024930282504283
Name_albert,0.0007876126209248602
Name_norman,0.0008665501808766352
Name_leonard,0.0010929785102133493
Name_patrick,0.0011273372269473003
Name_jane,0.0016047315738463741
Name_alexander,0.0018043838341437856
Name_edward,0.0018442158807521424
PassengerId,0.001887968259555306
Name_margaret,0.0019219008024043416
Name_ernest,0.001947988589151406
Name_sage,0.0020692566626708264
Name_bertha,0.0022152772871260606
Ticket_2343,0.0023215039796167236
Ticket_230080,0.0030800397202606633
Name_sofia,0.0032134739240441633
Name_andersson,0.0033030257322607115
Ticket_13502,0.003456557378041658
Ticket_pp,0.003532098868638123
Name_rice,0.0036417786818670915
Name_olsen,0.003644777827604739
Ticket_382652,0.004010002465851759
Name_anna,0.0040641620112785715
Name_hart,0.004426322253926229
Ticket_17572,0.004437841980643053
Name_percival,0.004684697060887954
Ticket_13529,0.004816900563223414
Name_frederick,0.005272312244295319
Name_maria,0.005756239598249002
Name_kate,0.006010998603843997
Name_mrs,0.006881337177464841
Ticket_347742,0.007516384228686712
Name_van,0.007599457294716705
Name_alfred,0.008319897278474764
Name_mr,0.008648478644109526
Name_richard,0.009760387790534153
Cabin,0.010558191777917825
Ticket_113760,0.010605275206113197
Ticket_6608,0.011133354529457884
Ticket_4133,0.013391114891047006
Ticket_17755,0.013715711271620402
Name_samuel,0.0143311945459051
SibSp,0.01514869221755406
Ticket_113781,0.02180377324206274
Name_alice,0.02471515904757996
Ticket_ston,0.035518317033046365
Ticket_1601,0.048627016305196724
Ticket_347082,0.05870104149006071
Ticket_3101295,0.07247920757132852
Pclass,0.09931008006135521
Name_master,0.2691958596790818
Sex,0.5500909012453057
